title,artist,genre,year,bpm,dur
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,193
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,188
Set Fire to the Rain,Adele,british soul,2012,108,242
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,193
Stronger (What Doesn't Kill You,Kelly Clarkson,dance pop,2012,116,222
Try,P!nk,dance pop,2012,104,248
Starships,Nicki Minaj,dance pop,2012,125,211
One More Night,Maroon 5,pop,2012,93,220
Good Time,Owl City,pop,2012,126,206
Glad You Came,The Wanted,boy band,2012,127,198
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,228
International Love,Pitbull,dance pop,2012,120,227
Some Nights,fun.,baroque pop,2012,108,277
Boyfriend,Justin Bieber,canadian pop,2012,97,171
Part Of Me,Katy Perry,dance pop,2012,130,216
Domino,Jessie J,australian pop,2012,127,232
Where Have You Been,Rihanna,barbadian pop,2012,128,243
Wide Awake,Katy Perry,dance pop,2012,160,221
The One That Got Away,Katy Perry,dance pop,2012,134,227
Dance Again,Jennifer Lopez,dance pop,2012,128,237
Turn Up the Music,Chris Brown,dance pop,2012,130,228
Lights - Single Version,Ellie Goulding,dance pop,2012,120,211
We Are Young (feat. Janelle Monae,fun.,baroque pop,2012,184,251
Diamonds,Rihanna,barbadian pop,2012,92,225
Don't Stop the Party (feat. TJR,Pitbull,dance pop,2012,127,206
You Da One,Rihanna,barbadian pop,2012,127,200
Stereo Hearts (feat. Adam Levine,Gym Class Heroes,dance pop,2012,90,211
It Will Rain,Bruno Mars,pop,2012,150,258
Blow Me (One Last Kiss,P!nk,dance pop,2012,114,256
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,230
Wake Me Up,Avicii,big room,2013,124,247
Story of My Life,One Direction,boy band,2013,121,245
Just Give Me a Reason (feat. Nate Ruess,P!nk,dance pop,2013,95,243
Hall of Fame,The Script,celtic rock,2013,85,203
Roar,Katy Perry,dance pop,2013,180,224
We Can't Stop,Miley Cyrus,dance pop,2013,80,231
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,213
Get Lucky (feat. Pharrell Williams & Nile Rodgers - Radio Edit,Daft Punk,electro,2013,116,248
Wrecking Ball,Miley Cyrus,dance pop,2013,120,221
Impossible,James Arthur,pop,2013,170,209
Blurred Lines,Robin Thicke,dance pop,2013,120,264
Heart Attack,Demi Lovato,dance pop,2013,174,211
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,193
Die Young,Kesha,dance pop,2013,128,212
Clarity,Zedd,complextro,2013,128,271
