title,artist,genre,year,bpm,dur
Bodak Yellow,Cardi B,pop,2017,125,224
Rich Love (with Seeb,OneRepublic,dance pop,2017,105,201
Tired,Alan Walker,electro house,2017,124,192
Came Here for Love,Sigala,dance pop,2017,125,203
24K Magic,Bruno Mars,pop,2017,107,226
Strip That Down (feat. Quavo,Liam Payne,dance pop,2017,106,202
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,208
OK - Spotify Version,Robin Schulz,dance pop,2017,122,189
Bon appetit,Katy Perry,dance pop,2017,106,228
Summer Bummer (feat. A$AP Rocky & Playboi Carti,Lana Del Rey,art pop,2017,135,261
Get Low (with Liam Payne,Zedd,complextro,2017,108,205
Kissing Strangers,DNCE,dance pop,2017,120,202
Slow Hands,Niall Horan,dance pop,2017,86,188
Younger Now,Miley Cyrus,dance pop,2017,122,249
Body Moves,DNCE,dance pop,2017,102,236
Reality (feat. Janieck Devy - Radio Edit,Lost Frequencies,belgian edm,2017,122,158
Angel,Fifth Harmony,dance pop,2017,124,189
Touch (feat. Kid Ink,Little Mix,dance pop,2017,102,203
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,218
Love Incredible (feat. Camila Cabello,Cashmere Cat,downtempo,2017,167,180
No Vacancy (with Sebastian Yatra,OneRepublic,dance pop,2017,100,223
Rich Boy,Galantis,big room,2017,110,184
Lust for Life (with The Weeknd,Lana Del Rey,art pop,2017,100,264
Greenlight (feat. Flo Rida & LunchMoney Lewis,Pitbull,dance pop,2017,115,245
Influence,Tove Lo,dance pop,2017,105,225
Remember I Told You,Nick Jonas,dance pop,2017,113,202
Messin' Around,Pitbull,dance pop,2017,158,223
Water Under the Bridge,Adele,british soul,2017,95,240
Free Me,Sia,australian dance,2017,87,286
Kissing Strangers - Remix,DNCE,dance pop,2017,120,202
One Kiss (with Dua Lipa,Calvin Harris,dance pop,2018,124,215
Havana (feat. Young Thug,Camila Cabello,dance pop,2018,105,217
I Like It,Cardi B,pop,2018,136,253
New Rules, None,dance pop,2018,116,209
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,199
no tears left to cry,Ariana Grande,dance pop,2018,122,206
IDGAF,Dua Lipa,dance pop,2018,97,218
In My Blood,Shawn Mendes,canadian pop,2018,140,211
Wolves,Selena Gomez,dance pop,2018,125,198
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,239
Attention,Charlie Puth,dance pop,2018,100,209
Electricity (with Dua Lipa,Silk City,edm,2018,118,238
Love On The Brain,Rihanna,barbadian pop,2018,172,224
Let Me Go (with Alesso," Florida Georgia Line & watt, Hailee Steinfeld",dance pop,2018,103,175
Silence,Marshmello,brostep,2018,142,181
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,204
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,217
These Days,Rudimental,dance pop,2018,92,211
What Lovers Do (feat. SZA,Maroon 5,pop,2018,110,200
Perfect Duet (Ed Sheeran & Beyonce,Ed Sheeran,pop,2018,95,260
Bad At Love,Halsey,dance pop,2018,118,181
Him & I (with Halsey,G-Eazy,hip hop,2018,88,269
Friends (with BloodPop,Justin Bieber,canadian pop,2018,105,189
Wild Thoughts (feat. Rihanna & Bryson Tiller,DJ Khaled,dance pop,2018,98,204
My My My!,Troye Sivan,dance pop,2018,103,205
Capital Letters,Hailee Steinfeld,dance pop,2018,100,219
Sick Boy,The Chainsmokers,electropop,2018,90,193
Tequila,Dan + Shay,contemporary country,2018,86,196
Look What You Made Me Do,Taylor Swift,pop,2018,128,212
Youth (feat. Khalid,Shawn Mendes,canadian pop,2018,100,191
Bad Liar,Selena Gomez,dance pop,2018,121,215
Anywhere,Rita Ora,dance pop,2018,107,215
Say Something,Justin Timberlake,dance pop,2018,97,279
Chun-Li,Nicki Minaj,dance pop,2018,129,192
Sign of the Times,Harry Styles,dance pop,2018,120,341
Familiar,Liam Payne,dance pop,2018,93,197
Let Me,ZAYN,dance pop,2018,168,185
Supernova,Ansel Elgort,dance pop,2018,140,191
Nervous,Shawn Mendes,canadian pop,2018,122,164
First Time,Kygo,edm,2018,90,194
End Game,Taylor Swift,pop,2018,159,245
Mi Gente (feat. Beyonce,J Balvin,latin,2018,105,210
Lemon,N.E.R.D,hip hop,2018,95,220
For You (With Rita Ora,Liam Payne,dance pop,2018,113,243
Want To,Dua Lipa,dance pop,2018,92,212
What I Need (feat. Kehlani,Hayley Kiyoko,dance pop,2018,104,220
Wait,Maroon 5,pop,2018,126,191
What About Us,P!nk,dance pop,2018,114,272
Kissing Strangers,DNCE,dance pop,2018,120,202
2U (feat. Justin Bieber,David Guetta,dance pop,2018,145,195
Walk On Water (feat. Beyonce,Eminem,detroit hip hop,2018,82,304
This Town,Niall Horan,dance pop,2018,112,233
Girls (feat. Cardi B," Bebe Rexha & Charli XCX, Rita Ora",dance pop,2018,94,221
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,169
Miss You (with Major Lazer & Tory Lanez,Cashmere Cat,downtempo,2018,100,186
Filthy,Justin Timberlake,dance pop,2018,97,294
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,227
Ferrari,Bebe Rexha,dance pop,2018,77,213
Supplies,Justin Timberlake,dance pop,2018,120,226
Boom Boom,RedOne,moroccan pop,2018,110,248
...Ready For It? - BloodPop Remix,Taylor Swift,pop,2018,160,190
Drip (feat. Migos,Cardi B,pop,2018,130,264
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,182
Memories,Maroon 5,pop,2019,91,189
Lose You To Love Me,Selena Gomez,dance pop,2019,102,206
Someone You Loved,Lewis Capaldi,pop,2019,110,182
Senorita,Shawn Mendes,canadian pop,2019,117,191
How Do You Sleep?,Sam Smith,pop,2019,111,202
South of the Border (feat. Camila Cabello & Cardi B,Ed Sheeran,pop,2019,98,204
Trampoline (with ZAYN,SHAED,electropop,2019,127,184
Happier,Marshmello,brostep,2019,100,214
Truth Hurts,Lizzo,escape room,2019,158,173
Good as Hell (feat. Ariana Grande - Remix,Lizzo,escape room,2019,96,159
Higher Love,Kygo,edm,2019,104,228
Only Human,Jonas Brothers,boy band,2019,94,183
Beautiful People (feat. Khalid,Ed Sheeran,pop,2019,93,198
Sucker,Jonas Brothers,boy band,2019,138,181
Don't Call Me Up,Mabel,dance pop,2019,99,178
I Don't Care (with Justin Bieber,Ed Sheeran,pop,2019,102,220
Talk (feat. Disclosure,Khalid,alternative r&b,2019,136,198
Giant (with Rag'n'Bone Man,Calvin Harris,dance pop,2019,122,229
Takeaway,The Chainsmokers,electropop,2019,100,210
All Around The World (La La La,R3HAB,big room,2019,125,148
Girls Like You (feat. Cardi B,Maroon 5,pop,2019,125,236
Call You Mine,The Chainsmokers,electropop,2019,104,218
No Guidance (feat. Drake,Chris Brown,dance pop,2019,93,261
Antisocial (with Travis Scott,Ed Sheeran,pop,2019,152,162
Taki Taki (feat. Selena Gomez," Ozuna & Cardi B, DJ Snake",electronic trap,2019,96,213
Con Calma - Remix,Daddy Yankee,latin,2019,94,181
Find U Again (feat. Camila Cabello,Mark Ronson,dance pop,2019,104,176
Cross Me (feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,2019,95,206
No Brainer (feat. Justin Bieber," Chance the Rapper & Quavo, DJ Khaled",,2019,136,260
Nothing Breaks Like a Heart (feat. Miley Cyrus,Mark Ronson,dance pop,2019,114,217
Kills You Slowly,The Chainsmokers,electropop,2019,150,213
